timestamp,x,y,z,pitch,yaw,roll,vx,vy,vz,ax,ay,az,yaw_rate
29883,-106.6867,-4.8475,0.473,0.0,-89.3578,0.0,0.0,0.0,-1.5308,0.0,0.0,-9.8,0.0
29899,-106.6867,-4.8475,0.4536,0.0,-89.3578,0.0,0.0,0.0,-1.6484,0.0,0.0,-9.8,0.0
29915,-106.6867,-4.8475,0.4536,0.0,-89.3578,0.0,0.0,0.0,-1.6484,0.0,0.0,-9.8,0.0
29931,-106.6867,-4.8475,0.4536,0.0,-89.3578,0.0,0.0,0.0,-1.6484,0.0,0.0,-9.8,0.0
29949,-106.6867,-4.8475,0.3753,0.0,-89.3578,0.0,0.0,0.0,-2.0542,0.0,0.0,-9.8,0.0
29963,-106.6867,-4.8475,0.3211,0.0,-89.3578,0.0,0.0,0.0,-2.2941,0.0,0.0,-9.8,0.0
29979,-106.6867,-4.8475,0.3211,0.0,-89.3578,0.0,0.0,0.0,-2.2941,0.0,0.0,-9.8,0.0
29995,-106.6867,-4.8475,0.2661,0.0,-89.3578,0.0,0.0,0.0,-2.515,0.0,0.0,-9.8,0.0
30012,-106.6867,-4.8475,0.2106,0.0,-89.3578,0.0,0.0,0.0,-2.7201,0.0,0.0,-9.8,0.0
30029,-106.6867,-4.8475,0.1485,0.0,-89.3578,0.0,0.0,0.0,-2.9326,0.0,0.0,-9.8,0.0
30043,-106.6867,-4.8475,0.1485,0.0,-89.3578,0.0,0.0,0.0,-2.9326,0.0,0.0,-9.8,0.0
30059,-106.6867,-4.8475,0.0842,0.0,-89.3578,0.0,0.0,0.0,-3.1379,0.0,0.0,-9.8,0.0
30077,-106.6867,-4.8466,0.0191,-0.0011,-89.3578,0.0,0.0002,-0.0209,-2.5411,0.0103,-0.9237,26.4033,0.0
30091,-106.6868,-4.8453,-0.024,-0.0027,-89.3578,0.0,-0.0012,0.1042,-1.7033,-0.0638,5.6935,38.1325,0.0
30107,-106.6868,-4.8453,-0.024,-0.0027,-89.3578,0.0,-0.0012,0.1042,-1.7033,-0.0638,5.6935,38.1325,0.0
30123,-106.6868,-4.8449,-0.0523,-0.0018,-89.3578,0.0,0.0002,-0.0138,-1.0887,0.0599,-5.3453,27.8409,0.0001
30140,-106.6868,-4.8419,-0.0694,-0.0053,-89.3578,0.0,-0.0017,0.1473,-0.6458,-0.0824,7.339,20.1757,0.0006
30155,-106.6868,-4.8419,-0.0694,-0.0053,-89.3578,0.0,-0.0017,0.1473,-0.6458,-0.0824,7.339,20.1757,0.0006
30171,-106.6868,-4.8383,-0.0787,-0.0081,-89.3578,0.0,-0.0019,0.1733,-0.334,-0.0135,1.206,14.4468,-0.0031
30188,-106.6869,-4.8312,-0.0827,-0.0141,-89.3572,0.0,-0.0037,0.3234,-0.1004,-0.0732,6.3847,9.9332,0.0239
30203,-106.6869,-4.8226,-0.0825,-0.0193,-89.371,0.0001,-0.0053,0.4536,0.0504,-0.0741,5.7547,6.6682,-0.0659
30219,-106.6869,-4.8226,-0.0825,-0.0193,-89.371,0.0001,-0.0053,0.4536,0.0504,-0.0741,5.7547,6.6682,-0.0659
30235,-106.6871,-4.8109,-0.0799,-0.0263,-89.3714,0.0,-0.007,0.5829,0.1447,-0.0756,5.9177,4.3163,-0.5828
30253,-106.6873,-4.7969,-0.076,-0.0334,-89.3599,0.0001,-0.0088,0.7053,0.2004,-0.0887,5.867,2.6705,0.2822
30267,-106.6875,-4.7795,-0.0711,-0.0407,-89.3555,0.0001,-0.0097,0.8435,0.2328,-0.038,6.3486,1.4877,0.31
30283,-106.6875,-4.7795,-0.0711,-0.0407,-89.3555,0.0001,-0.0097,0.8435,0.2328,-0.038,6.3486,1.4877,0.31
30299,-106.6878,-4.7583,-0.0653,-0.0465,-89.3521,0.0001,-0.0109,0.9172,0.247,-0.0519,3.1022,0.599,0.0165
30316,-106.6881,-4.7357,-0.0596,-0.0517,-89.3522,0.0001,-0.0122,1.0221,0.2735,-0.0602,4.7528,1.1987,-0.5855
30333,-106.6881,-4.7357,-0.0596,-0.0517,-89.3522,0.0001,-0.0122,1.0221,0.2735,-0.0602,4.7528,1.1987,-0.5855
