timestamp,x,y,z,pitch,yaw,roll,vx,vy,vz,ax,ay,az,yaw_rate
7491,-106.6867,-4.8475,0.5191,0.0,-89.3578,0.0,0.0,0.0,-1.2019,0.0,0.0,-9.8,0.0
7507,-106.6867,-4.8475,0.5064,0.0,-89.3578,0.0,0.0,0.0,-1.2977,0.0,0.0,-9.8,0.0
7523,-106.6867,-4.8475,0.5064,0.0,-89.3578,0.0,0.0,0.0,-1.2977,0.0,0.0,-9.8,0.0
7540,-106.6867,-4.8475,0.455,0.0,-89.3578,0.0,0.0,0.0,-1.6318,0.0,0.0,-9.8,0.0
7556,-106.6867,-4.8475,0.4208,0.0,-89.3578,0.0,0.0,0.0,-1.821,0.0,0.0,-9.8,0.0
7571,-106.6867,-4.8475,0.4208,0.0,-89.3578,0.0,0.0,0.0,-1.821,0.0,0.0,-9.8,0.0
7587,-106.6867,-4.8475,0.3819,0.0,-89.3578,0.0,0.0,0.0,-2.0148,0.0,0.0,-9.8,0.0
7603,-106.6867,-4.8475,0.3451,0.0,-89.3578,0.0,0.0,0.0,-2.1831,0.0,0.0,-9.8,0.0
7619,-106.6867,-4.8475,0.304,0.0,-89.3578,0.0,0.0,0.0,-2.3572,0.0,0.0,-9.8,0.0
7636,-106.6867,-4.8475,0.2614,0.0,-89.3578,0.0,0.0,0.0,-2.5254,0.0,0.0,-9.8,0.0
7653,-106.6867,-4.8475,0.2143,0.0,-89.3578,0.0,0.0,0.0,-2.699,0.0,0.0,-9.8,0.0
7669,-106.6867,-4.8475,0.1649,0.0,-89.3578,0.0,0.0,0.0,-2.8704,0.0,0.0,-9.8,0.0
7684,-106.6867,-4.8475,0.1127,0.0,-89.3578,0.0,0.0,0.0,-3.0409,0.0,0.0,-9.8,0.0
7701,-106.6867,-4.8475,0.0575,0.0,-89.3578,0.0,0.0,0.0,-3.2118,0.0,0.0,-9.8,0.0
7718,-106.6867,-4.8458,0.0132,-0.0023,-89.3578,0.0,-0.0005,0.0423,-2.4378,-0.0281,2.5113,45.9191,0.0007
7731,-106.6868,-4.8424,-0.0208,-0.0066,-89.3581,0.0,-0.0015,0.1545,-1.7783,-0.0576,6.3792,37.5058,-0.0716
7747,-106.6868,-4.8424,-0.0208,-0.0066,-89.3581,0.0,-0.0015,0.1545,-1.7783,-0.0576,6.3792,37.5058,-0.0716
7763,-106.6868,-4.8397,-0.0459,-0.0078,-89.3582,-0.0,-0.0013,0.1176,-1.2412,0.0121,-2.0047,29.1533,0.0164
7779,-106.6868,-4.8361,-0.0622,-0.01,-89.3693,0.0002,-0.0069,0.2129,-0.843,-0.3211,5.4664,22.8362,-2.881
7795,-106.6868,-4.833,-0.0727,-0.0106,-89.3689,0.0002,-0.004,0.1701,-0.5439,0.1705,-2.5118,17.568,-2.6205
7811,-106.6869,-4.828,-0.0793,-0.0134,-89.3657,0.0,-0.0026,0.3058,-0.3002,0.0757,7.329,13.1609,0.9835
7828,-106.6871,-4.8211,-0.0821,-0.0183,-89.3562,0.0001,-0.0052,0.4284,-0.1293,-0.1551,7.1859,10.0141,-0.2009
7844,-106.6871,-4.8139,-0.0827,-0.0215,-89.3614,0.0001,-0.0059,0.4504,-0.007,-0.0403,1.341,7.4627,-0.9912
7861,-106.6871,-4.8042,-0.0816,-0.0271,-89.3713,-0.0002,-0.0034,0.6121,0.0845,0.1442,9.6464,5.4606,-0.5844
7877,-106.6872,-4.7914,-0.079,-0.0339,-89.379,-0.0003,-0.0065,0.734,0.1535,-0.1678,6.7558,3.8256,-0.614
7893,-106.6872,-4.7765,-0.0756,-0.0407,-89.3917,-0.0005,-0.007,0.8535,0.199,-0.0287,6.6616,2.5357,-0.9411
7909,-106.6872,-4.7608,-0.0718,-0.046,-89.4016,-0.0005,-0.0088,0.9351,0.2256,-0.1069,4.8254,1.5725,-0.8962
7923,-106.6874,-4.7432,-0.0673,-0.0507,-89.4045,-0.0004,-0.0093,0.9988,0.2733,-0.0262,3.6133,2.7038,0.038
7939,-106.6875,-4.7234,-0.0629,-0.0569,-89.4156,-0.0004,-0.0125,1.2408,0.2738,-0.1879,14.0872,0.0307,-1.306
7955,-106.6875,-4.7234,-0.0629,-0.0569,-89.4156,-0.0004,-0.0125,1.2408,0.2738,-0.1879,14.0872,0.0307,-1.306
7971,-106.688,-4.7018,-0.0583,-0.0621,-89.3907,0.0001,-0.0161,1.262,0.264,-0.2101,1.2436,-0.5773,-0.2912
7987,-106.6884,-4.6796,-0.0538,-0.0635,-89.3726,0.0003,-0.0155,1.2573,0.2517,0.0328,-0.2725,-0.7004,-0.6968
