timestamp,x,y,z,pitch,yaw,roll,vx,vy,vz,ax,ay,az,yaw_rate
675,-106.6867,-4.8475,-0.0325,0.0,-89.3578,0.0,-0.0,-0.0,-1.539,-0.0,-0.0,36.5062,-0.0
691,-106.6867,-4.8477,-0.062,0.0006,-89.3577,0.0,0.0008,-0.0682,-0.8608,0.0276,-2.4717,24.5907,0.0002
709,-106.6867,-4.8474,-0.0735,0.0002,-89.3577,0.0,0.0007,-0.0646,-0.53,-0.002,0.1867,17.4165,-0.0
726,-106.6867,-4.8473,-0.0796,0.0001,-89.3577,-0.0,0.0006,-0.0566,-0.301,-0.0052,0.4689,13.3649,-0.0002
739,-106.6867,-4.8473,-0.0796,0.0001,-89.3577,-0.0,0.0006,-0.0566,-0.301,-0.0052,0.4689,13.3649,-0.0002
755,-106.6867,-4.8468,-0.0829,-0.0007,-89.3577,0.0,-0.0006,0.0566,-0.0837,-0.0564,5.0302,9.6569,-0.0003
771,-106.6867,-4.8469,-0.0826,-0.0001,-89.3577,-0.0,0.0004,-0.0381,0.0571,0.0488,-4.3536,6.4714,-0.0003
789,-106.6867,-4.8461,-0.0806,-0.0011,-89.3577,0.0,-0.0003,0.0275,0.1328,-0.042,3.7796,4.3612,-0.0016
806,-106.6867,-4.8455,-0.078,-0.0017,-89.3578,0.0,-0.0003,0.0283,0.1806,-0.0006,0.0524,3.0587,-0.001
819,-106.6868,-4.8446,-0.0742,-0.0021,-89.3578,0.0,-0.0003,0.0279,0.2168,0.0001,-0.0214,2.0132,-0.0006
837,-106.6868,-4.8439,-0.0702,-0.0023,-89.3578,0.0,-0.0003,0.0295,0.2364,-0.0011,0.0923,1.1532,-0.0009
851,-106.6868,-4.843,-0.0661,-0.0027,-89.3578,0.0,-0.0005,0.0466,0.2458,-0.0112,0.9996,0.5462,-0.0012
867,-106.6868,-4.8404,-0.0618,-0.0057,-89.3578,0.0,-0.002,0.1751,0.2472,-0.0847,7.5424,0.0822,0.0043
883,-106.6868,-4.8404,-0.0618,-0.0057,-89.3578,0.0,-0.002,0.1751,0.2472,-0.0847,7.5424,0.0822,0.0043
899,-106.6868,-4.8365,-0.0573,-0.0094,-89.3582,0.0,-0.0028,0.2504,0.2424,-0.0451,4.0728,-0.2568,-0.0144
917,-106.6869,-4.831,-0.0526,-0.0132,-89.3582,0.0,-0.0034,0.3068,0.2311,-0.029,2.8142,-0.565,-0.0405
934,-106.6869,-4.8227,-0.0479,-0.019,-89.3658,-0.0,-0.0045,0.4391,0.2168,-0.056,6.3938,-0.6906,-0.4668
950,-106.6871,-4.8143,-0.0442,-0.0233,-89.3511,-0.0001,-0.0043,0.5038,0.2028,0.0105,3.5748,-0.7744,0.8809
966,-106.6872,-4.805,-0.0408,-0.0272,-89.3491,-0.0,-0.0065,0.5676,0.1882,-0.1227,3.6554,-0.8375,0.0776
979,-106.6874,-4.7946,-0.0378,-0.0314,-89.3445,-0.0,-0.0067,0.6545,0.1741,-0.0146,5.233,-0.8485,0.0368
995,-106.6875,-4.7827,-0.0351,-0.036,-89.3455,0.0,-0.0091,0.7472,0.1602,-0.1416,5.5988,-0.8418,-0.189
1011,-106.6877,-4.7692,-0.0325,-0.0404,-89.347,0.0,-0.0095,0.8271,0.1466,-0.0254,4.821,-0.8168,-0.0875
1027,-106.6878,-4.7546,-0.0302,-0.0436,-89.348,0.0,-0.0103,0.9011,0.1334,-0.0476,4.3873,-0.7836,-0.0366
1044,-106.688,-4.7375,-0.0279,-0.0463,-89.3491,0.0,-0.011,0.9616,0.1195,-0.0379,3.2669,-0.7515,-0.0413
1061,-106.6882,-4.7206,-0.026,-0.0484,-89.3503,0.0,-0.0117,1.0207,0.1083,-0.0399,3.4805,-0.6596,-0.0455
1075,-106.6882,-4.7206,-0.026,-0.0484,-89.3503,0.0,-0.0117,1.0207,0.1083,-0.0399,3.4805,-0.6596,-0.0455
1091,-106.6885,-4.7033,-0.0242,-0.049,-89.3461,0.0001,-0.0121,1.0437,0.095,-0.0235,1.3377,-0.7734,0.2121
1107,-106.6886,-4.6853,-0.0224,-0.0487,-89.3577,-0.0001,-0.0093,1.0087,0.098,0.1627,-2.0383,0.1722,1.956
1125,-106.6887,-4.6666,-0.0209,-0.0487,-89.3602,-0.0005,-0.0069,1.0552,0.0845,0.1413,2.7283,-0.7867,-0.1316
1141,-106.689,-4.6456,-0.0195,-0.0487,-89.3346,-0.0008,-0.0049,1.0996,0.0732,0.1115,2.4471,-0.6246,0.8155
1157,-106.6892,-4.6263,-0.0184,-0.0468,-89.3252,-0.0007,-0.008,1.0939,0.0627,-0.1836,-0.3341,-0.6179,0.4977
1173,-106.6894,-4.6045,-0.0174,-0.0437,-89.3189,-0.0005,-0.0099,1.0887,0.0545,-0.099,-0.2709,-0.4281,0.2978
1189,-106.6896,-4.585,-0.0166,-0.0404,-89.3167,-0.0002,-0.0111,1.0859,0.0463,-0.0715,-0.1641,-0.4742,0.0608
1203,-106.6898,-4.5663,-0.0159,-0.0372,-89.3188,0.0,-0.0118,1.0905,0.0402,-0.0435,0.2762,-0.3663,-0.294
1219,-106.69,-4.547,-0.0153,-0.0342,-89.3247,0.0002,-0.0122,1.0902,0.0352,-0.0211,-0.0156,-0.2925,-0.3143
1235,-106.69,-4.547,-0.0153,-0.0342,-89.3247,0.0002,-0.0122,1.0902,0.0352,-0.0211,-0.0156,-0.2925,-0.3143
1251,-106.6902,-4.5265,-0.0148,-0.0309,-89.3289,0.0002,-0.0121,1.0849,0.0308,0.0042,-0.2944,-0.2446,-0.2141
1267,-106.6904,-4.5061,-0.0143,-0.0277,-89.3318,0.0003,-0.0121,1.0794,0.0266,0.0019,-0.3035,-0.2313,-0.147
1284,-106.6906,-4.4858,-0.0139,-0.0247,-89.334,0.0003,-0.0121,1.0747,0.023,0.0015,-0.2579,-0.197,-0.1167
1301,-106.6908,-4.4658,-0.0135,-0.0221,-89.3366,0.0003,-0.0121,1.0828,0.0199,-0.0021,0.4566,-0.173,-0.1708
1317,-106.6909,-4.444,-0.0132,-0.0208,-89.3585,0.0002,-0.0118,1.0755,0.0173,0.0164,-0.3924,-0.1382,0.1593
1333,-106.6915,-4.4209,-0.0129,-0.0204,-89.3122,0.0002,-0.0119,1.1499,0.015,-0.0071,3.8746,-0.1238,2.2207
1347,-106.6918,-4.3972,-0.0126,-0.0236,-89.3007,0.0002,-0.0139,1.3361,0.0128,-0.1115,10.4217,-0.1194,1.8674
1364,-106.6925,-4.3706,-0.0124,-0.0309,-89.2683,0.0008,-0.0234,1.5357,0.0112,-0.5498,11.5177,-0.0954,2.6007
1379,-106.6925,-4.3706,-0.0124,-0.0309,-89.2683,0.0008,-0.0234,1.5357,0.0112,-0.5498,11.5177,-0.0954,2.6007
1395,-106.6929,-4.3426,-0.0122,-0.0379,-89.2794,0.0013,-0.028,1.6731,0.0098,-0.2685,8.0739,-0.0802,-3.204
1411,-106.6933,-4.3121,-0.0119,-0.045,-89.2873,0.0013,-0.0257,1.8104,0.0087,0.137,8.0307,-0.0676,-3.4144
1427,-106.6937,-4.2809,-0.0118,-0.049,-89.279,0.001,-0.0235,1.8099,0.0076,0.1283,-0.0315,-0.0608,-3.61
1445,-106.6941,-4.249,-0.0116,-0.0518,-89.2879,0.0007,-0.0237,1.8851,0.0067,-0.0116,4.4213,-0.0551,-4.176
1459,-106.6944,-4.2149,-0.0115,-0.0534,-89.2992,0.0001,-0.0226,1.9222,0.0059,0.0589,2.0842,-0.0447,-4.5211
1478,-106.695,-4.18,-0.0114,-0.0566,-89.2709,0.0004,-0.0288,2.0948,0.0051,-0.3604,10.1047,-0.044,1.7433
1494,-106.6954,-4.1407,-0.0113,-0.0582,-89.2959,0.0006,-0.0299,2.2022,0.0045,-0.0592,5.6935,-0.031,-1.1246
1509,-106.6958,-4.1032,-0.0112,-0.0594,-89.3128,0.0004,-0.0292,2.211,0.0039,0.0389,0.5065,-0.0357,-1.0691
1525,-106.6962,-4.064,-0.0112,-0.0606,-89.322,0.0002,-0.0295,2.3434,0.0034,-0.0179,7.5496,-0.0273,-0.1645
1539,-106.6965,-4.0234,-0.0111,-0.0625,-89.3435,-0.0,-0.0297,2.4228,0.003,-0.0103,4.5894,-0.0244,-2.3218
1557,-106.6969,-3.9762,-0.011,-0.0707,-89.3662,-0.0007,-0.0278,2.7177,0.0027,0.1086,16.5098,-0.0198,-1.354
1571,-106.6969,-3.9762,-0.011,-0.0707,-89.3662,-0.0007,-0.0278,2.7177,0.0027,0.1086,16.5098,-0.0198,-1.354
1587,-106.6973,-3.9239,-0.0109,-0.0787,-89.3791,-0.0013,-0.0276,2.8332,0.0023,0.0107,6.2098,-0.0175,-2.5879
1606,-106.6977,-3.8643,-0.0108,-0.0855,-89.3962,-0.0015,-0.0316,3.034,0.0019,-0.1983,9.9536,-0.0198,-1.0309
1621,-106.6981,-3.8053,-0.0107,-0.0902,-89.4205,-0.0016,-0.0299,3.0906,0.0018,0.0875,2.9696,-0.0088,-4.5586
1635,-106.6985,-3.7449,-0.0107,-0.0927,-89.4469,-0.0019,-0.03,3.2095,0.0015,-0.0051,6.2705,-0.0126,-4.8311
1651,-106.6985,-3.7449,-0.0107,-0.0927,-89.4469,-0.0019,-0.03,3.2095,0.0015,-0.0051,6.2705,-0.0126,-4.8311
