timestamp,x,y,z,pitch,yaw,roll,vx,vy,vz,ax,ay,az,yaw_rate
1168,-106.6867,-4.8475,-0.0777,0.0,-89.3578,0.0,0.0,-0.0,0.0545,-0.0,-0.0,6.5996,-0.0
1184,-106.6867,-4.847,-0.0726,-0.0009,-89.3578,0.0,-0.0005,0.0456,0.177,-0.0139,1.2384,3.3249,-0.0
1200,-106.6867,-4.847,-0.0726,-0.0009,-89.3578,0.0,-0.0005,0.0456,0.177,-0.0139,1.2384,3.3249,-0.0
1216,-106.6867,-4.847,-0.0726,-0.0009,-89.3578,0.0,-0.0005,0.0456,0.177,-0.0139,1.2384,3.3249,-0.0
1232,-106.6867,-4.8459,-0.0622,-0.0013,-89.3578,0.0,-0.0001,0.0065,0.2287,0.009,-0.8062,1.0644,0.0001
1248,-106.6867,-4.8459,-0.0622,-0.0013,-89.3578,0.0,-0.0001,0.0065,0.2287,0.009,-0.8062,1.0644,0.0001
1264,-106.6867,-4.8451,-0.054,-0.0013,-89.3578,0.0,-0.0001,0.0071,0.2251,-0.0001,0.015,-0.0986,-0.0002
1280,-106.6867,-4.8451,-0.054,-0.0013,-89.3578,0.0,-0.0001,0.0071,0.2251,-0.0001,0.015,-0.0986,-0.0002
1310,-106.6867,-4.8443,-0.0465,-0.0013,-89.3578,0.0,-0.0001,0.0111,0.2055,-0.0013,0.1133,-0.5546,-0.0003
1319,-106.6867,-4.8443,-0.0465,-0.0013,-89.3578,0.0,-0.0001,0.0111,0.2055,-0.0013,0.1133,-0.5546,-0.0003
1335,-106.6867,-4.8443,-0.0465,-0.0013,-89.3578,0.0,-0.0001,0.0111,0.2055,-0.0013,0.1133,-0.5546,-0.0003
1355,-106.6868,-4.8399,-0.0387,-0.0058,-89.3579,0.0,-0.002,0.1736,0.1742,-0.044,3.9067,-0.7536,-0.0127
1376,-106.6869,-4.8316,-0.0338,-0.0133,-89.3529,-0.0,-0.0027,0.3135,0.1504,-0.0245,4.6275,-0.7873,0.5041
1387,-106.6869,-4.8316,-0.0338,-0.0133,-89.3529,-0.0,-0.0027,0.3135,0.1504,-0.0245,4.6275,-0.7873,0.5041
1403,-106.6871,-4.819,-0.0296,-0.0212,-89.3502,0.0,-0.0058,0.4278,0.1272,-0.0996,3.7005,-0.7507,1.3767
1419,-106.6871,-4.819,-0.0296,-0.0212,-89.3502,0.0,-0.0058,0.4278,0.1272,-0.0996,3.7005,-0.7507,1.3767
1435,-106.6871,-4.819,-0.0296,-0.0212,-89.3502,0.0,-0.0058,0.4278,0.1272,-0.0996,3.7005,-0.7507,1.3767
1459,-106.6874,-4.7955,-0.0245,-0.0287,-89.349,0.0002,-0.0065,0.573,0.0961,-0.0148,3.1041,-0.6646,0.9926
1470,-106.6874,-4.7955,-0.0245,-0.0287,-89.349,0.0002,-0.0065,0.573,0.0961,-0.0148,3.1041,-0.6646,0.9926
1496,-106.6876,-4.7703,-0.0214,-0.0367,-89.3588,-0.0001,-0.008,0.7711,0.0766,-0.0413,5.477,-0.5377,-0.1029
1504,-106.6876,-4.7703,-0.0214,-0.0367,-89.3588,-0.0001,-0.008,0.7711,0.0766,-0.0413,5.477,-0.5377,-0.1029
1545,-106.688,-4.7335,-0.0186,-0.045,-89.3544,-0.0001,-0.0112,0.9492,0.0584,-0.0777,4.2864,-0.4388,-0.3665
1553,-106.688,-4.7335,-0.0186,-0.045,-89.3544,-0.0001,-0.0112,0.9492,0.0584,-0.0777,4.2864,-0.4388,-0.3665
1569,-106.688,-4.7335,-0.0186,-0.045,-89.3544,-0.0001,-0.0112,0.9492,0.0584,-0.0777,4.2864,-0.4388,-0.3665
1596,-106.6888,-4.6749,-0.0157,-0.0478,-89.3488,0.0002,-0.0142,1.0674,0.034,-0.0531,2.0516,-0.4244,-1.1683
1608,-106.6888,-4.6749,-0.0157,-0.0478,-89.3488,0.0002,-0.0142,1.0674,0.034,-0.0531,2.0516,-0.4244,-1.1683
1634,-106.6891,-4.6264,-0.0142,-0.0536,-89.3688,-0.0001,-0.0141,1.2591,0.0321,0.0044,5.0042,-0.0495,-2.1386
1640,-106.6891,-4.6264,-0.0142,-0.0536,-89.3688,-0.0001,-0.0141,1.2591,0.0321,0.0044,5.0042,-0.0495,-2.1386
1656,-106.6891,-4.6264,-0.0142,-0.0536,-89.3688,-0.0001,-0.0141,1.2591,0.0321,0.0044,5.0042,-0.0495,-2.1386
1678,-106.6891,-4.5748,-0.0132,-0.0503,-89.4184,-0.0011,-0.0087,1.238,0.022,0.1339,-0.5298,-0.2517,-0.9009
1694,-106.6891,-4.5748,-0.0132,-0.0503,-89.4184,-0.0011,-0.0087,1.238,0.022,0.1339,-0.5298,-0.2517,-0.9009
1726,-106.6894,-4.5213,-0.0126,-0.0459,-89.4336,-0.0015,-0.0109,1.3502,0.015,-0.0527,2.7989,-0.1759,-3.6976
1734,-106.6897,-4.4802,-0.0122,-0.0423,-89.4368,0.0005,-0.0117,1.3683,0.011,-0.0299,0.6043,-0.1312,-3.4232
1750,-106.6897,-4.4802,-0.0122,-0.0423,-89.4368,0.0005,-0.0117,1.3683,0.011,-0.0299,0.6043,-0.1312,-3.4232
1777,-106.6906,-4.4392,-0.012,-0.0374,-89.3593,0.0017,-0.0152,1.3737,0.0091,-0.1154,0.1785,-0.0661,5.729
1782,-106.6906,-4.4392,-0.012,-0.0374,-89.3593,0.0017,-0.0152,1.3737,0.0091,-0.1154,0.1785,-0.0661,5.729
1798,-106.6909,-4.4026,-0.0118,-0.0349,-89.3821,0.0022,-0.0159,1.3624,0.0072,-0.0254,-0.4375,-0.0738,-1.2498
1817,-106.6911,-4.3678,-0.0116,-0.0363,-89.4038,0.002,-0.0163,1.5655,0.0059,-0.0209,8.9827,-0.0569,-0.9062
1830,-106.6911,-4.3678,-0.0116,-0.0363,-89.4038,0.002,-0.0163,1.5655,0.0059,-0.0209,8.9827,-0.0569,-0.9062
1846,-106.6914,-4.3061,-0.0114,-0.0418,-89.4458,0.0009,-0.0151,1.8701,0.0045,0.0322,8.1964,-0.0362,-0.6707
1862,-106.6914,-4.3061,-0.0114,-0.0418,-89.4458,0.0009,-0.0151,1.8701,0.0045,0.0322,8.1964,-0.0362,-0.6707
1878,-106.6914,-4.3061,-0.0114,-0.0418,-89.4458,0.0009,-0.0151,1.8701,0.0045,0.0322,8.1964,-0.0362,-0.6707
